Area,Address,Horizontal,Road_width,Type_of_house,Price
45.0,7,4.0,11.0,2,12.0
57.0,4,5.0,7.0,2,7.0
57.0,1,4.0,3.0,2,10.0
60.0,18,4.0,5.0,2,12.0
95.0,44,5.0,3.0,2,21.0
245.0,53,16.0,5.0,2,31.0
96.0,32,6.0,5.0,2,23.0
1.004,58,6.0,4.0,2,23.5
35.0,59,4.0,5.0,2,5.8
57.0,60,5.0,5.0,2,7.3
37.0,61,38.0,2.0,2,4.35
50.0,62,3.8,3.0,2,6.35
52.0,63,4.2,3.0,2,6.5
40.0,64,38.0,3.0,2,4.55
75.0,62,7.0,3.0,2,4.5
50.0,65,4.2,3.0,2,5.9
37.0,58,3.5,2.5,2,3.45
35.0,67,3.6,4.0,2,5.6
46.0,63,4.0,3.0,2,5.8
40.0,68,4.5,10.0,2,7.68
38.0,69,4.0,5.0,2,5.15
70.0,58,4.5,3.0,2,7.5
58.0,60,4.5,3.0,2,5.3
32.0,68,3.5,5.0,2,5.8
36.0,71,3.5,3.0,2,3.05
43.0,59,4.0,3.0,2,5.5
40.0,68,5.0,3.0,2,5.45
52.0,58,4.3,3.0,2,6.6
35.0,58,4.435066261134082,3.0,2,5.2
63.0,58,4.435066261134082,7.0,2,6.3
40.0,58,4.0,5.0,2,10.2
26.0,58,3.0,5.0,2,3.65
34.0,62,4.435066261134082,3.0,2,3.45
28.0,58,4.435066261134082,3.0,2,2.85
46.0,58,4.435066261134082,5.0,2,6.4
35.0,58,4.435066261134082,7.0,2,6.8
66.0,63,4.435066261134082,5.0,2,6.9
30.0,58,4.435066261134082,5.0,2,3.68
31.0,58,4.435066261134082,3.0,2,2.52
33.0,58,4.435066261134082,15.0,2,8.9
55.0,63,4.435066261134082,10.0,2,9.5
72.0,78,4.435066261134082,7.0,2,7.5
36.0,58,4.435066261134082,3.0,2,3.98
62.0,69,4.435066261134082,3.0,2,12.5
34.0,58,4.435066261134082,3.0,2,4.4
60.0,63,4.435066261134082,7.0,2,5.2
45.0,58,4.435066261134082,4.0,2,4.8
62.0,69,4.435066261134082,3.0,2,12.5
34.0,58,4.435066261134082,3.0,2,4.4
60.0,63,4.435066261134082,7.0,2,5.2
45.0,58,4.435066261134082,4.0,2,4.8
42.0,58,4.435066261134082,3.0,2,4.3
40.0,58,5.0,10.0,2,8.5
35.0,60,4.435066261134082,5.0,2,2.35
30.0,84,4.435066261134082,7.0,2,6.4
58.0,58,4.435066261134082,7.0,2,9.2
34.0,58,4.435066261134082,3.0,2,3.4
58.0,58,4.435066261134082,5.0,2,5.8
43.0,62,4.435066261134082,5.0,2,4.3
121.0,65,4.435066261134082,3.0,2,8.7
37.0,58,4.435066261134082,10.0,2,7.1
37.0,58,4.435066261134082,10.0,2,7.1
70.0,59,4.435066261134082,3.0,2,8.5
25.0,84,4.435066261134082,5.0,2,4.1
36.0,61,4.435066261134082,3.0,2,3.58
30.0,58,4.435066261134082,3.0,2,3.8
20.0,60,4.435066261134082,3.0,2,2.15
51.0,87,4.435066261134082,3.0,2,7.8
45.0,59,3.4,3.0,2,7.1
59.0,89,5.9,5.0,2,5.9
35.0,90,3.2,3.0,2,5.3
48.0,91,3.8,8.0,2,14.8
50.0,92,4.3,2.5,2,7.7
70.0,92,4.0,3.5,2,12.9
45.0,94,4.0,3.0,2,7.6
50.0,22,3.6,3.0,2,11.4
150.0,90,7.0,3.0,2,10.8
110.0,97,14.0,2.5,2,8.5
50.0,60,4.0,4.0,2,8.2
65.0,99,4.8,3.0,2,12.6
55.0,90,3.8,3.0,2,11.4
50.0,58,5.2,30.0,2,17.6
68.0,48,4.8,5.0,2,12.5
60.0,102,4.0,2.0,2,6.9
62.0,48,4.0,7.0,2,15.8
50.0,22,4.2,6.0,2,13.2
35.0,104,4.3,3.5,2,4.3
38.0,12,4.5,3.0,2,5.45
40.0,106,3.7,6.0,2,7.8
55.0,104,3.6,5.0,2,8.5
35.0,58,3.4,3.0,2,3.7
50.0,63,4.0,4.0,2,8.5
87.0,104,5.4,3.0,2,8.7
50.0,12,3.3,3.0,2,5.2
150.0,90,7.0,3.0,2,10.8
110.0,97,14.0,2.5,2,8.5
50.0,60,4.0,4.0,2,8.2
65.0,99,4.8,3.0,2,12.6
55.0,90,3.8,3.0,2,11.4
50.0,58,5.2,30.0,2,17.6
60.0,102,4.0,2.0,2,6.9
50.0,22,4.2,6.0,2,13.2
62.0,48,4.0,7.0,2,15.8
68.0,48,4.8,5.0,2,12.5
35.0,104,4.3,3.5,2,4.3
38.0,12,4.5,3.0,2,5.45
58.0,111,5.0,4.0,2,12.5
120.0,112,6.5,8.0,2,18.5
58.0,111,5.0,4.0,2,12.5
120.0,112,6.5,8.0,2,18.5
70.0,60,4.0,4.0,2,7.0
40.0,113,3.6,10.0,2,8.6
100.0,114,5.0,3.0,2,11.2
58.0,104,5.1,5.0,2,9.0
45.0,104,4.0,5.0,2,9.8
85.0,63,5.0,3.0,2,4.7
40.0,92,4.2,3.5,2,6.6
45.0,60,4.0,8.0,2,8.5
58.0,68,5.6,10.0,2,13.2
70.0,59,3.8,10.0,2,21.5
50.0,118,4.0,5.0,2,10.6
55.0,92,5.0,6.0,2,12.2
60.0,89,5.5,20.0,2,17.3
55.0,92,4.0,6.0,2,11.6
70.0,120,4.2,6.0,2,10.5
90.0,71,5.5,10.0,2,14.5
55.0,89,4.0,3.0,2,9.5
90.0,71,5.5,10.0,2,14.5
55.0,89,4.0,3.0,2,9.5
85.0,59,4.0,5.0,2,10.5
110.0,59,4.0,6.0,2,14.6
58.0,60,5.1,3.0,2,7.3
48.0,22,5.2,7.0,2,11.0
55.0,90,3.7,3.5,2,10.4
70.0,60,4.8,4.5,2,10.4
40.0,67,4.4,2.0,2,6.6
48.0,125,6.0,2.5,2,6.9
45.0,104,4.0,6.0,2,7.9
55.0,22,3.6,2.7,2,11.4
55.0,58,4.0,6.0,2,10.9
60.0,127,4.0,3.0,2,9.8
40.0,94,4.0,6.0,2,11.3
35.0,63,3.5,20.0,2,12.2
36.0,113,4.8,2.5,2,6.8
38.0,104,4.9,3.0,2,5.85
40.0,58,3.8,3.5,2,6.8
55.0,130,4.0,6.0,2,8.9
38.0,104,4.9,3.0,2,5.85
40.0,58,3.8,3.5,2,6.8
55.0,130,4.0,6.0,2,8.9
50.0,22,4.2,6.0,2,12.2
50.0,60,5.0,4.0,2,7.5
40.0,69,4.1,8.0,2,8.6
45.0,133,4.2,8.0,2,10.0
70.0,59,4.0,8.0,2,10.0
55.0,90,3.6,3.0,2,10.5
45.0,92,3.8,8.0,2,11.0
75.0,67,3.7,5.0,2,8.9
55.0,113,5.0,4.5,2,10.98
50.0,68,3.8,6.0,2,10.6
50.0,127,4.0,7.0,2,9.1
40.0,139,4.0,2.0,2,4.7
52.0,1,3.5,6.0,2,14.0
68.0,140,4.435066261134082,8.0,1,9.2
74.0,141,5.0,5.0,2,6.7
35.0,142,4.7,5.0,2,5.2
65.0,143,5.0,3.5,2,4.5
59.0,1,5.0,7.0,2,18.5
55.0,1,3.5,2.5,2,6.8
38.0,59,4.435066261134082,20.0,1,13.5
40.0,59,4.435066261134082,15.0,1,12.5
50.0,145,5.1,15.0,1,24.5
25.0,58,4.435066261134082,15.0,1,5.0
46.0,58,5.0,10.0,1,11.9
88.0,58,5.0,5.0,1,13.0
31.0,147,3.5,20.0,1,12.2
40.0,60,4.0,7.0,1,6.8
30.0,58,4.435066261134082,30.0,1,8.3
45.0,59,4.435066261134082,30.0,1,8.5
28.0,150,4.435066261134082,20.0,1,25.0
45.0,58,4.435066261134082,10.0,1,7.6
54.0,59,4.435066261134082,10.0,1,10.5
31.0,58,3.5,50.0,1,11.5
140.0,63,6.7,30.0,1,16.0
62.0,127,4.3,30.0,1,19.2
30.0,68,4.435066261134082,10.0,1,6.0
65.0,84,5.0,30.0,1,26.0
30.0,63,3.5,30.0,1,13.0
130.0,59,6.0,40.0,1,6.2
30.0,69,4.5,30.0,1,12.0
160.0,59,6.0,20.0,1,35.0
68.0,150,5.5,30.0,1,43.0
215.0,60,6.5,40.0,1,80.0
260.0,155,12.0,15.0,1,25.5
100.0,156,5.0,30.0,1,81.0
42.0,69,4.0,20.0,1,11.8
65.0,59,15.0,20.0,1,15.5
48.0,150,4.435066261134082,5.0,1,13.8
60.0,68,4.2,5.0,1,13.5
100.0,69,5.0,7.0,1,25.0
55.0,59,9.0,20.0,1,3.6
75.0,160,4.0,5.0,1,11.1
26.0,63,3.5,15.0,1,5.2
45.0,63,4.5,30.0,1,18.6
65.0,62,11.0,30.0,1,20.0
95.0,59,6.0,3.0,1,23.0
35.0,58,6.0,40.0,1,15.7
380.0,84,10.6,30.0,1,246.0
595.0,163,21.0,30.0,1,180.0
88.0,147,8.0,30.0,1,132.0
283.0,84,11.0,30.0,1,127.5
331.0,7,35.0,50.0,1,230.0
145.0,147,8.0,30.0,1,135.0
343.0,169,9.0,50.0,1,250.0
120.0,147,7.3,35.0,1,120.0
190.0,147,7.3,30.0,1,127.5
291.0,1,8.0,50.0,1,180.0
120.0,147,4.435066261134082,30.0,1,69.0
265.0,147,4.435066261134082,30.0,1,87.0
260.0,147,6.8,30.0,1,150.0
153.0,147,8.0,35.0,1,115.0
466.0,147,10.0,40.0,1,258.0
320.0,147,7.0,40.0,1,198.0
356.0,1,8.4,45.0,1,155.0
160.0,176,4.435066261134082,50.0,1,140.0
330.0,147,25.0,25.0,1,235.0
330.0,147,25.0,25.0,1,235.0
222.0,32,12.0,20.0,1,145.0
250.0,69,6.8,40.0,1,123.0
1.046,147,80.0,35.0,2,230.0
268.0,147,4.435066261134082,30.0,1,250.0
135.0,147,5.6,30.0,1,105.0
220.0,147,7.0,30.0,1,185.0
440.0,150,12.0,30.0,1,205.0
175.0,147,25.0,30.0,1,186.0
83.0,63,5.0,40.0,1,50.0
68.0,185,4.435066261134082,30.0,1,50.0
174.0,61,4.435066261134082,30.0,1,105.0
118.0,147,4.435066261134082,30.0,1,93.0
118.0,147,4.435066261134082,30.0,1,93.0
50.0,22,6.2,4.0,2,6.7
32.0,65,3.0,3.0,2,3.1
44.0,58,4.2,30.0,1,15.0
280.0,133,14.0,10.0,1,69.0
190.0,114,10.0,10.0,1,69.0
108.0,69,5.6,20.0,1,45.0
75.0,147,5.0,7.0,1,40.0
110.0,90,4.3,40.0,1,45.0
63.0,130,4.0,10.0,1,16.9
45.0,197,4.5,8.0,1,6.25
50.0,140,4.0,40.0,1,10.7
220.0,147,7.0,20.0,1,185.0
73.0,130,7.0,6.0,1,11.0
87.0,113,5.8,20.0,1,22.5
71.0,160,6.0,20.0,1,33.0
50.0,12,4.0,1.0,1,16.0
335.0,150,10.5,30.0,1,160.0
340.0,205,15.0,30.0,1,168.0
380.0,84,10.6,30.0,1,246.0
595.0,163,21.0,30.0,1,180.0
88.0,147,8.0,30.0,1,132.0
283.0,84,11.0,30.0,1,127.5
331.0,7,35.0,50.0,1,230.0
145.0,147,8.0,30.0,1,135.0
343.0,169,9.0,50.0,1,250.0
120.0,147,7.3,35.0,1,120.0
190.0,147,7.3,30.0,1,127.5
291.0,1,8.0,50.0,1,180.0
120.0,147,4.435066261134082,30.0,1,69.0
265.0,147,4.435066261134082,30.0,1,87.0
260.0,147,6.8,30.0,1,150.0
153.0,147,8.0,35.0,1,115.0
466.0,147,10.0,40.0,1,258.0
320.0,147,7.0,40.0,1,198.0
356.0,1,8.4,45.0,1,155.0
36.0,7,4.435066261134082,5.0,2,5.9
66.0,7,4.435066261134082,5.0,2,11.0
61.0,4,4.435066261134082,3.0,2,5.7
53.0,7,4.435066261134082,5.0,2,9.0
45.0,3,4.435066261134082,5.0,2,8.4
45.0,1,4.435066261134082,3.0,2,7.2
31.0,2,4.435066261134082,3.0,2,3.7
38.0,4,4.435066261134082,3.0,2,4.25
90.0,3,4.435066261134082,3.0,2,12.7
30.0,3,4.435066261134082,3.0,2,4.1
31.0,4,4.435066261134082,3.0,2,4.0
52.0,1,4.435066261134082,3.0,2,8.3
90.0,1,4.435066261134082,3.0,2,12.7
50.0,3,4.435066261134082,2.0,2,6.15
56.0,7,4.435066261134082,3.0,2,8.1
68.0,2,4.435066261134082,2.0,2,5.65
46.0,7,4.435066261134082,2.0,2,4.2
180.0,1,4.435066261134082,3.0,2,27.5
70.0,197,3.5,6.0,1,10.0
40.0,97,4.0,5.0,2,5.5
40.0,97,4.0,5.0,2,5.5
80.0,22,4.8,26.0,1,33.0
363.0,7,4.435066261134082,30.0,1,128.0
71.0,160,6.0,20.0,1,33.0
54.0,145,4.435066261134082,25.0,1,28.5
114.0,63,4.435066261134082,30.0,1,28.5
53.0,62,4.435066261134082,15.0,1,15.1
82.0,58,4.435066261134082,35.0,1,26.0
70.0,58,4.435066261134082,20.0,1,21.0
148.0,130,4.435066261134082,40.0,1,33.0
170.0,59,4.435066261134082,18.0,1,26.0
56.0,62,4.435066261134082,10.0,1,16.5
53.0,145,4.435066261134082,20.0,1,23.0
57.0,69,4.435066261134082,9.0,2,15.0
85.0,61,4.435066261134082,10.0,2,12.0
130.0,222,4.435066261134082,8.0,1,19.5
133.0,65,4.435066261134082,10.0,1,23.5
56.0,224,4.435066261134082,20.0,1,16.8
55.0,65,4.435066261134082,3.0,2,8.9
64.0,64,4.435066261134082,5.0,2,10.5
64.0,64,4.435066261134082,5.0,2,10.5
77.0,165,4.435066261134082,6.0,2,17.9
48.0,64,4.435066261134082,6.0,2,9.45
68.0,12,4.435066261134082,5.0,2,9.3
65.0,64,4.435066261134082,3.5,2,9.8
75.0,165,4.435066261134082,6.0,2,19.2
80.0,111,4.435066261134082,4.0,2,10.8
55.0,65,4.435066261134082,12.0,2,12.5
33.0,69,4.435066261134082,10.0,2,12.7
50.0,130,4.435066261134082,5.0,2,9.8
67.0,133,4.435066261134082,3.0,2,6.85
55.0,12,4.435066261134082,3.0,2,7.5
76.0,232,4.435066261134082,5.0,2,15.9
73.0,190,4.435066261134082,4.0,2,9.2
140.0,222,4.435066261134082,3.0,2,9.6
50.0,133,4.435066261134082,5.0,2,7.7
45.0,160,4.435066261134082,5.0,2,7.3
140.0,236,4.435066261134082,3.0,2,9.6
133.0,127,4.435066261134082,6.0,2,24.0
75.0,133,4.435066261134082,6.0,2,13.0
20.0,237,4.435066261134082,3.0,2,2.0
30.0,224,4.435066261134082,3.0,2,2.25
47.0,62,4.435066261134082,3.0,2,4.0
45.0,63,4.435066261134082,3.0,2,5.3
31.0,69,4.435066261134082,3.0,2,3.4
46.0,69,4.435066261134082,3.0,2,5.0
36.0,58,4.435066261134082,3.0,2,5.0
34.0,69,4.435066261134082,3.0,2,4.8
35.0,58,4.435066261134082,3.0,2,5.0
23.0,205,4.435066261134082,3.0,2,6.0
32.0,71,4.435066261134082,3.0,2,2.8
76.0,69,4.435066261134082,5.0,2,9.9
22.0,71,4.435066261134082,3.0,2,2.5
26.0,139,4.435066261134082,2.5,2,2.8
23.0,236,4.435066261134082,2.0,2,2.0
31.0,69,4.435066261134082,3.0,2,4.9
20.0,60,4.435066261134082,3.0,2,3.5
60.0,69,4.435066261134082,4.0,2,8.5
16.0,248,4.435066261134082,2.0,2,1.7
23.0,63,4.435066261134082,3.0,2,3.1
75.0,4,6.0,4.0,2,15.5
55.0,22,4.0,5.0,2,11.0
60.0,22,4.5,6.0,2,12.5
61.0,22,4.3,6.0,2,11.8
63.0,22,4.3,6.0,2,11.5
122.0,252,7.0,10.0,2,15.0
71.0,133,4.1,6.0,2,11.0
27.0,133,4.435066261134082,5.0,2,6.5
58.0,165,4.435066261134082,2.5,2,6.5
52.0,1,4.435066261134082,6.0,1,11.0
55.0,130,5.0,2.5,2,9.0
50.0,104,5.0,7.0,2,9.5
45.0,104,6.6,30.0,1,31.5
50.0,130,4.0,7.0,2,8.2
60.0,140,4.435066261134082,20.0,1,12.2
48.0,140,5.8,12.0,1,7.6
42.0,140,6.0,12.0,2,8.5
33.0,140,5.0,2.8,2,3.5
33.0,259,3.6,2.5,2,3.6
35.0,260,5.0,3.0,2,4.0
33.0,259,3.6,2.5,2,3.6
35.0,260,5.0,3.0,2,4.0
33.0,259,5.0,3.0,2,3.0
40.0,262,4.0,5.0,2,5.2
44.0,140,4.0,5.0,2,6.98
37.0,264,4.7,2.5,2,4.2
80.0,142,6.0,40.0,1,26.0
50.0,266,4.5,5.0,2,2.2
130.0,267,4.0,40.0,1,15.4
60.0,104,4.0,7.0,2,17.0
47.0,190,4.0,5.0,2,8.2
67.0,1,4.5,2.5,2,5.4
45.0,7,5.0,3.0,2,4.1
30.0,1,8.0,2.0,2,4.25
35.0,22,6.2,3.0,2,4.3
36.0,1,5.0,3.5,2,4.35
45.0,2,4.0,3.5,2,5.5
35.0,3,3.2,3.5,2,4.2
35.0,1,4.8,3.5,2,4.65
32.0,2,3.6,4.0,2,5.3
45.0,62,4.435066261134082,3.0,1,3.26
45.0,197,6.0,6.0,2,5.8
260.0,133,4.435066261134082,20.0,1,43.0
168.0,133,10.0,25.0,1,46.0
54.0,104,6.0,2.5,2,5.2
280.0,48,8.0,50.0,1,88.0
66.0,90,4.6,2.0,2,6.35
62.0,140,4.0,0.0,1,5.85
35.0,140,35.0,4.0,2,4.5
44.0,130,3.5,3.0,2,4.2
100.0,63,5.0,18.0,1,40.0
63.0,97,4.435066261134082,6.5,2,11.0
30.0,32,4.435066261134082,2.0,2,4.95
33.0,140,4.0,2.5,2,3.19
40.0,264,3.5,2.5,2,3.85
36.0,264,3.2,3.0,2,3.05
39.0,264,5.5,3.0,2,3.4
96.0,58,4.5,6.0,1,11.2
96.0,63,5.0,20.0,1,40.0
90.0,113,5.6,10.0,1,20.0
400.0,65,10.0,8.0,1,54.0
43.0,286,4.435066261134082,3.0,1,3.6
68.0,2,7.0,2.3,2,9.5
75.0,133,4.435066261134082,3.5,1,12.0
46.0,4,4.0,5.0,2,6.85
46.0,61,4.0,5.0,2,6.2
60.0,236,4.435066261134082,6.0,1,11.2
58.0,290,4.435066261134082,4.5,2,6.2
65.0,4,4.5,2.3,2,9.8
84.0,292,4.0,5.0,2,6.0
69.0,4,5.0,3.0,2,7.15
97.0,1,4.435066261134082,6.0,1,23.0
40.0,4,4.0,2.0,2,3.75
45.0,50,4.0,2.0,2,5.5
36.0,140,3.5,4.0,2,2.7
55.0,197,6.0,8.0,1,11.5
40.0,260,4.435066261134082,3.0,2,2.8
42.0,140,4.0,5.9,1,6.45
41.0,4,4.0,2.5,2,3.7
46.0,2,5.3,2.5,3,6.8
60.0,4,4.0,2.0,2,11.8
200.0,1,8.0,12.0,3,43.5
40.0,260,4.0,3.0,2,4.0
58.0,142,4.435066261134082,5.0,2,6.5
60.0,142,4.435066261134082,5.0,2,4.2
80.0,142,4.435066261134082,6.0,2,9.0
70.0,142,4.435066261134082,6.0,2,9.0
35.0,53,4.435066261134082,4.0,2,3.5
25.0,142,3.5,6.0,1,4.5
82.0,155,6.5,10.0,1,17.5
43.0,308,4.0,8.0,1,4.8
33.0,141,4.0,2.5,2,2.7
84.0,63,5.7,4.0,2,13.9
60.0,4,4.435066261134082,3.0,2,3.89
40.0,309,4.435066261134082,3.0,2,7.3
51.0,310,5.0,5.5,2,5.35
36.0,311,4.0,5.9,2,7.0
35.0,311,4.0,5.9,2,3.3
40.0,42,4.0,5.0,2,4.2
63.0,50,8.0,3.0,1,9.7
63.0,315,3.9,4.5,1,13.5
53.0,42,5.0,5.0,1,14.7
54.0,42,4.5,6.0,1,10.0
46.0,130,4.0,3.5,2,5.8
57.0,4,3.9,2.0,2,11.5
60.0,4,4.435066261134082,3.0,2,3.89
36.0,4,4.435066261134082,3.0,2,3.6
62.0,7,10.0,8.0,2,11.7
65.0,190,5.0,10.0,2,15.8
250.0,147,10.0,22.0,3,160.0
56.0,252,5.8,3.5,2,6.5
47.0,32,4.5,3.0,2,6.25
46.0,22,4.0,3.0,2,4.3
65.0,1,4.435066261134082,20.0,1,31.5
50.0,1,4.0,8.0,3,7.3
33.0,69,6.0,35.0,2,4.88
48.0,7,4.5,20.0,1,16.8
35.0,323,4.435066261134082,9.552683032804689,2,3.8
60.0,1,5.0,5.0,2,10.9
45.0,48,4.0,4.0,2,7.3
55.0,252,4.0,4.0,2,7.5
83.0,62,4.435066261134082,7.0,1,12.8
40.0,64,4.435066261134082,4.5,2,6.4
63.0,94,4.435066261134082,3.0,2,9.0
46.0,53,3.8,3.0,2,7.6
42.0,140,5.0,5.0,2,5.5
63.0,197,4.1,5.0,2,7.5
100.0,1,7.0,25.0,1,63.0
92.0,143,5.8,8.0,1,38.0
66.0,127,4.435066261134082,3.0,2,7.5
